City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nsanje,0,MZ,02/25/19,64,-16.92,35.26,77.65,7.65
mehran,0,IR,02/25/19,80,33.12,46.17,33.8,4.7
dores do indaia,32,BR,02/25/19,76,-19.46,-45.6,76.75,0.72
tulsipur,92,IN,02/25/19,79,27.53,82.41,55.46,11.01
harnosand,0,SE,02/25/19,56,62.63,17.94,46.0,23.04
tzaneen,0,ZA,02/25/19,87,-23.83,30.16,57.2,10.29
ambulu,0,ID,02/25/19,100,-8.35,113.61,79.18,4.74
kiunga,92,PG,02/25/19,99,-6.12,141.3,73.19,2.73
hwange,0,ZW,02/25/19,75,-18.35,26.5,70.13,3.4
mehamn,75,NO,02/25/19,73,71.03,27.85,26.6,4.7
pangnirtung,20,CA,02/25/19,68,66.15,-65.72,-18.41,3.62
ulladulla,0,AU,02/25/19,64,-35.36,150.48,68.0,8.05
lisakovsk,44,KZ,02/25/19,61,52.55,62.49,3.98,3.74
ostrovnoy,76,RU,02/25/19,91,68.05,39.51,23.42,15.82
greymouth,0,NZ,02/25/19,86,-42.45,171.21,62.3,3.4
barra do bugres,48,BR,02/25/19,80,-15.07,-57.19,78.68,7.43
el colomo,20,MX,02/25/19,65,20.87,-105.16,80.6,9.17
santiago del estero,68,AR,02/25/19,78,-27.8,-64.26,72.43,9.22
bakchar,76,RU,02/25/19,79,57.02,82.07,10.46,7.31
las vegas,1,US,02/25/19,35,36.17,-115.15,61.0,9.17
piedade,76,BR,02/25/19,96,-23.71,-47.43,80.01,3.0
port hardy,20,CA,02/25/19,38,50.7,-127.42,41.0,11.41
orlik,36,RU,02/25/19,54,52.51,99.83,-9.88,1.95
hollins,1,US,02/25/19,18,37.35,-79.95,51.8,11.41
petatlan,40,MX,02/25/19,66,17.52,-101.27,86.0,6.93
visby,12,SE,02/25/19,80,57.64,18.3,39.99,5.82
lazarev,0,RU,02/25/19,63,52.23,141.51,3.76,6.98
dwarka,40,IN,02/25/19,62,28.58,77.04,57.2,4.7
bandrele,0,YT,02/25/19,88,-12.91,45.19,80.6,5.82
darovskoy,92,RU,02/25/19,90,58.77,47.96,23.6,8.88
cam ranh,20,VN,02/25/19,83,11.92,109.15,77.0,8.05
houma,92,CN,02/25/19,88,35.63,111.36,33.77,3.18
baraki barak,0,AF,02/25/19,53,33.97,68.95,-2.1,4.18
dzaoudzi,0,YT,02/25/19,88,-12.79,45.27,80.6,5.82
chara,75,GR,02/25/19,59,39.42,22.43,37.4,1.39
rawson,0,AR,02/25/19,33,-43.3,-65.11,55.64,15.26
maltahohe,76,NA,02/25/19,22,-24.83,16.98,72.2,10.33
nchelenge,64,ZM,02/25/19,94,-9.35,28.74,68.42,2.17
ambilobe,80,MG,02/25/19,97,-13.19,49.05,70.58,1.72
fukue,75,JP,02/25/19,61,35.03,136.69,55.0,23.04
san javier,0,ES,02/25/19,87,37.81,-0.83,50.0,5.82
codrington,76,AU,02/25/19,69,-28.95,153.24,73.99,1.12
santa cecilia,40,CO,02/25/19,79,5.35,-76.12,84.2,9.17
visnes,56,NO,02/25/19,100,59.36,5.22,42.01,3.36
balikpapan,20,ID,02/25/19,94,-1.24,116.86,78.8,3.36
corrente,12,BR,02/25/19,77,-17.45,-44.68,75.17,3.62
yamaranguila,1,HN,02/25/19,21,14.28,-88.24,89.6,14.99
hovd,75,NO,02/25/19,75,63.83,10.7,45.0,20.8
maniitsoq,56,GL,02/25/19,77,65.42,-52.9,10.6,3.96
kadarkut,44,HU,02/25/19,78,46.24,17.62,29.95,6.42
araouane,0,ML,02/25/19,25,18.9,-3.53,57.89,13.47
alice springs,0,AU,02/25/19,35,-23.7,133.88,86.0,11.41
komsomolskiy,80,RU,02/25/19,87,67.55,63.78,10.96,24.32
port blair,0,IN,02/25/19,100,11.67,92.75,81.65,8.77
luanda,40,AO,02/25/19,88,-8.83,13.24,80.6,8.05
shujaabad,20,PK,02/25/19,76,29.88,71.29,51.8,3.4
maputo,75,MZ,02/25/19,88,-25.97,32.57,75.2,2.24
viedma,64,AR,02/25/19,40,-40.81,-62.99,57.89,15.03
providencia,40,CO,02/25/19,77,1.24,-77.6,68.0,6.93
morlaix,0,FR,02/25/19,61,48.58,-3.83,50.0,6.93
quesnel,0,CA,02/25/19,73,52.98,-122.49,16.0,15.01
lochgilphead,12,GB,02/25/19,100,56.04,-5.43,46.4,2.24
lakselv,75,NO,02/25/19,100,70.05,24.96,28.4,2.24
seoul,1,KR,02/25/19,85,37.57,126.98,28.4,1.12
boden,90,SE,02/25/19,89,65.83,21.69,32.0,3.4
banff,0,CA,02/25/19,71,51.18,-115.57,-1.0,5.99
acapulco,5,MX,02/25/19,78,16.86,-99.88,82.4,12.75
waipawa,8,NZ,02/25/19,86,-39.94,176.59,62.12,3.74
satuk,68,TR,02/25/19,96,41.23,32.38,34.18,1.72
kutum,88,SD,02/25/19,31,14.2,24.66,77.24,5.41
kaeo,68,NZ,02/25/19,61,-35.1,173.78,71.01,11.99
umm lajj,12,SA,02/25/19,87,25.02,37.27,64.82,1.28
aras,0,YE,02/25/19,41,14.28,44.38,43.36,4.97
prabumulih,76,ID,02/25/19,96,-3.5,104.19,73.96,4.74
faanui,8,PF,02/25/19,100,-16.48,-151.75,83.99,7.87
sobolevo,92,RU,02/25/19,91,54.43,31.9,33.1,14.81
chapais,90,CA,02/25/19,70,49.78,-74.86,-2.21,14.99
svetlogorsk,20,RU,02/25/19,77,53.14,59.15,3.2,4.47
rafai,36,CF,02/25/19,90,4.95,23.92,73.1,2.95
honningsvag,75,NO,02/25/19,79,70.98,25.97,26.6,3.36
rocha,0,UY,02/25/19,67,-34.48,-54.34,53.8,5.75
nanortalik,88,GL,02/25/19,99,60.14,-45.24,34.81,11.56
mwinilunga,44,ZM,02/25/19,91,-11.73,24.43,66.08,2.17
pauini,48,BR,02/25/19,98,-7.71,-67.0,71.93,3.96
la asuncion,76,EC,02/25/19,97,-1.64,-78.74,49.61,1.28
adre,80,TD,02/25/19,93,13.47,22.2,66.76,2.62
manjacaze,24,MZ,02/25/19,93,-24.71,33.88,71.84,4.07
evensk,68,RU,02/25/19,100,61.92,159.24,-6.6,6.2
sept-iles,90,CA,02/25/19,85,50.2,-66.38,21.2,4.7
kargasok,68,RU,02/25/19,74,59.06,80.87,13.75,6.76
auki,32,NG,02/25/19,39,12.18,6.51,69.05,4.74
manokwari,48,ID,02/25/19,100,-0.87,134.08,79.18,5.75
scharding,12,AT,02/25/19,70,48.45,13.44,39.99,6.93
simbahan,0,PH,02/25/19,100,6.3,120.58,79.85,16.37
culebra,1,US,02/25/19,23,34.68,-105.77,53.6,13.87
balabac,0,PH,02/25/19,99,7.99,117.06,80.21,14.7
ozernovskiy,68,RU,02/25/19,84,51.5,156.52,21.31,13.91
laksar,44,IN,02/25/19,91,29.75,78.02,45.29,4.18
sioux lookout,75,CA,02/25/19,58,50.1,-91.92,-4.01,8.05
smolenka,32,PL,02/25/19,94,54.15,22.76,35.01,11.12
williams lake,20,CA,02/25/19,55,52.13,-122.14,6.8,6.93
kyren,0,RU,02/25/19,81,51.68,102.13,1.96,3.18
caucaia,0,BR,02/25/19,83,-3.73,-38.66,81.0,6.93
hami,0,CN,02/25/19,63,42.84,93.51,15.86,7.43
shelburne,90,CA,02/25/19,79,44.08,-80.2,21.2,10.29
delta del tigre,40,UY,02/25/19,67,-34.76,-56.41,72.0,4.7
turukhansk,80,RU,02/25/19,83,65.8,87.96,14.06,19.51
umm kaddadah,44,SD,02/25/19,39,13.6,26.69,70.13,3.74
rosetta,0,EG,02/25/19,44,31.4,30.42,60.8,18.34
son la,92,VN,02/25/19,97,21.32,103.9,59.78,1.16
trairi,80,BR,02/25/19,100,-3.28,-39.27,82.33,8.66
santa barbara,40,US,02/25/19,77,34.42,-119.7,64.4,6.93
zhanaozen,44,KZ,02/25/19,91,43.35,52.85,24.1,3.29
mareeba,32,AU,02/25/19,69,-16.99,145.42,82.99,12.75
penzance,20,GB,02/25/19,93,50.12,-5.53,51.01,13.87
isiro,0,CD,02/25/19,88,2.77,27.62,69.55,2.73
erenhot,76,CN,02/25/19,67,43.65,111.97,18.56,2.95
kidero,44,RU,02/25/19,90,42.19,45.96,20.27,0.16
nurota,76,UZ,02/25/19,85,40.56,65.69,37.4,6.93
karlskoga,88,SE,02/25/19,65,59.33,14.52,44.01,8.05
cadillac,90,US,02/25/19,65,44.25,-85.4,10.4,8.05
sharan,0,AF,02/25/19,48,33.15,68.78,-8.4,2.06
talnakh,88,RU,02/25/19,82,69.49,88.39,8.8,22.64
devils lake,1,US,02/25/19,69,48.11,-98.87,-7.61,8.05
zhob,0,PK,02/25/19,73,31.34,69.45,16.81,2.39
hofn,92,IS,02/25/19,91,64.25,-15.21,44.26,24.54
salamanca,0,ES,02/25/19,75,40.97,-5.66,44.01,3.36
mvuma,24,ZW,02/25/19,86,-19.28,30.53,65.05,8.66
antofagasta,40,CL,02/25/19,73,-23.65,-70.4,69.8,10.29
lewisporte,90,CA,02/25/19,92,49.25,-55.06,25.0,27.51
lesnoy,88,RU,02/25/19,81,59.78,52.13,20.86,7.65
okha,20,RU,02/25/19,86,53.59,142.95,-0.3,10.22
mayor pablo lagerenza,88,PY,02/25/19,51,-19.93,-60.77,89.21,19.06
pangody,88,RU,02/25/19,87,65.85,74.49,15.68,22.3
havelock,40,US,02/25/19,22,34.88,-76.9,60.8,9.17
naranjal,90,PY,02/25/19,88,-25.97,-55.19,66.2,9.17
zhireken,0,RU,02/25/19,60,52.82,117.29,5.69,3.74
lakhdenpokhya,80,RU,02/25/19,89,61.52,30.2,34.0,15.37
conde,0,BR,02/25/19,87,-11.81,-37.61,81.02,10.56
salalah,20,OM,02/25/19,83,17.01,54.1,77.0,2.24
celendin,75,PE,02/25/19,67,-6.87,-78.15,60.8,4.7
puerto maldonado,75,PE,02/25/19,334,-12.59,-69.19,33.8,3.36
cururupu,76,BR,02/25/19,97,-1.82,-44.87,75.76,3.62
san pedro,0,AR,02/25/19,70,-33.68,-59.66,64.0,11.68
poum,0,MK,02/25/19,81,41.28,20.71,9.25,1.61
hualmay,36,PE,02/25/19,75,-11.1,-77.61,74.23,4.74
majene,0,ID,02/25/19,93,-3.54,118.97,83.41,8.21
san rafael,0,AR,02/25/19,28,-34.61,-68.33,59.78,6.2
berlevag,75,NO,02/25/19,63,70.86,29.09,26.6,5.82
mersing,48,MY,02/25/19,81,2.43,103.84,81.02,10.89
coolum beach,92,AU,02/25/19,78,-26.53,153.09,75.99,5.99
cervo,24,BR,02/25/19,86,-22.19,-46.24,70.36,2.62
nemuro,0,JP,02/25/19,100,43.32,145.57,28.6,12.46
manyana,0,AU,02/25/19,64,-35.26,150.51,75.0,8.05
karakol,0,KG,02/25/19,64,42.49,78.39,-2.59,3.06
port-cartier,90,CA,02/25/19,85,50.03,-66.88,21.2,4.7
nanhai,92,CN,02/25/19,83,30.13,111.78,46.0,4.52
mnogovershinnyy,0,RU,02/25/19,69,53.94,139.92,1.19,4.52
bonthe,0,SL,02/25/19,89,7.53,-12.5,78.28,5.19
waingapu,8,ID,02/25/19,97,-9.65,120.26,78.14,3.96
ouallam,0,NE,02/25/19,21,14.32,2.08,62.35,7.65
santa maria,75,BR,02/25/19,94,-29.69,-53.81,68.0,4.7
nara,40,JP,02/25/19,66,34.68,135.8,48.2,14.99
chifeng,8,CN,02/25/19,55,42.27,118.96,16.85,2.39
klyuchi,36,RU,02/25/19,60,52.25,79.17,4.7,4.63
hervey bay,90,AU,02/25/19,64,-25.3,152.85,82.0,12.75
una,20,BR,02/25/19,83,-15.29,-39.07,84.2,6.93
yuanping,68,CN,02/25/19,79,38.72,112.71,22.25,2.73
abdanan,0,IR,02/25/19,85,32.99,47.42,35.39,2.95
caconda,36,AO,02/25/19,91,-13.73,15.06,64.33,8.32
voznesenye,88,RU,02/25/19,88,61.02,35.48,32.11,14.58
high rock,75,BS,02/25/19,69,26.63,-78.28,75.2,11.41
kungurtug,0,RU,02/25/19,57,50.6,97.53,-16.5,3.18
port-gentil,40,GA,02/25/19,94,-0.72,8.78,78.8,3.36
tshikapa,56,CD,02/25/19,99,-6.42,20.79,70.04,0.94
poiares,0,PT,02/25/19,75,41.06,-6.86,37.78,3.62
billings,90,US,02/25/19,76,45.79,-108.5,-2.01,12.75
nyrob,76,RU,02/25/19,89,60.74,56.73,18.65,11.56
